"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2016","115.23","107.49","115.54","106.57","421.07M","7.15%"
"06/01/2016","107.54","110.00","110.75","101.75","580.01M","-2.54%"
"05/01/2016","110.34","105.97","110.51","104.40","537.65M","4.37%"
"04/01/2016","105.72","108.58","111.44","104.88","559.25M","-3.19%"
"03/01/2016","109.20","103.45","110.04","103.16","602.37M","6.54%"
"02/01/2016","102.50","103.62","104.80","94.84","942.26M","-1.57%"
"01/01/2016","104.13","109.43","110.18","97.25","1.08B","-6.91%"
"12/01/2015","111.86","114.47","115.75","109.38","757.51M","-1.89%"
"11/01/2015","114.02","113.63","115.47","109.48","543.41M","0.61%"
"10/01/2015","113.33","101.94","114.08","100.48","740.63M","11.37%"
"09/01/2015","101.76","101.71","108.72","98.75","881.20M","-2.44%"
"08/01/2015","104.31","111.97","113.00","84.74","1.01B","-6.82%"
"07/01/2015","111.95","108.13","114.39","105.83","644.89M","4.56%"
"06/01/2015","107.07","110.64","111.13","106.64","577.03M","-2.71%"
"05/01/2015","110.05","108.05","111.08","106.00","518.23M","2.25%"
"04/01/2015","107.63","105.60","111.16","104.34","568.70M","1.92%"
"03/01/2015","105.60","108.61","109.42","104.24","633.64M","-2.58%"
"02/01/2015","108.40","101.33","108.94","99.75","472.46M","7.22%"
"01/01/2015","101.10","103.76","104.58","99.36","826.29M","-2.08%"
"12/01/2014","103.25","105.72","105.92","99.92","815.70M","-2.60%"
"11/01/2014","106.01","101.53","106.25","100.67","434.99M","4.55%"
"10/01/2014","101.40","98.54","101.75","90.24","1.29B","2.64%"
"09/01/2014","98.79","100.04","100.57","97.70","756.07M","-0.99%"
"08/01/2014","99.78","94.83","99.91","93.89","645.94M","5.01%"
"07/01/2014","95.02","94.21","97.51","93.63","661.60M","1.18%"
"06/01/2014","93.91","91.43","94.14","90.64","567.10M","2.85%"
"05/01/2014","91.31","87.53","91.45","85.53","789.22M","4.49%"
"04/01/2014","87.39","88.10","89.68","83.28","1.14B","-0.32%"
"03/01/2014","87.67","89.48","91.36","86.40","809.60M","-2.96%"
"02/01/2014","90.34","85.78","90.96","83.39","715.98M","5.15%"
"01/01/2014","85.91","87.19","88.63","84.41","836.43M","-1.92%"
"12/01/2013","87.60","85.47","87.60","83.70","653.21M","2.60%"
"11/01/2013","85.38","82.70","85.49","81.03","542.38M","3.55%"
"10/01/2013","82.45","78.54","83.14","76.03","817.37M","4.96%"
"09/01/2013","78.55","75.79","79.36","75.23","504.23M","4.52%"
"08/01/2013","75.16","75.99","76.96","74.65","529.26M","-0.40%"
"07/01/2013","75.46","71.46","75.89","71.06","581.77M","6.31%"
"06/01/2013","70.97","73.01","73.51","68.86","748.61M","-2.70%"
"05/01/2013","72.95","70.42","74.64","69.96","680.48M","3.58%"
"04/01/2013","70.43","68.72","70.44","66.60","835.58M","2.54%"
"03/01/2013","68.68","66.58","68.77","66.26","558.03M","2.79%"
"02/01/2013","66.82","67.06","67.98","65.69","656.59M","0.35%"
"01/01/2013","66.59","66.41","67.51","65.90","741.91M","2.67%"
"12/01/2012","64.86","66.05","66.48","63.32","815.97M","-1.02%"
