"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2015","37.75","38.23","38.50","36.87","107.59M","-0.76%"
"10/01/2015","38.04","35.84","38.69","35.44","117.21M","6.73%"
"09/01/2015","35.64","36.32","38.01","34.71","166.74M","-4.50%"
"08/01/2015","37.32","40.25","40.64","35.11","173.66M","-7.23%"
"07/01/2015","40.23","40.12","40.77","38.17","117.23M","1.46%"
"06/01/2015","39.65","41.46","41.96","39.51","98.76M","-4.11%"
"05/01/2015","41.35","41.59","42.51","40.89","70.15M","-0.05%"
"04/01/2015","41.37","40.05","42.29","39.83","110.14M","3.87%"
"03/01/2015","39.83","40.52","41.21","38.86","108.86M","-1.65%"
"02/01/2015","40.50","38.44","40.65","38.30","129.28M","6.16%"
"01/01/2015","38.15","37.95","38.89","36.31","123.77M","0.71%"
"12/01/2014","37.88","39.64","39.71","37.09","160.81M","-4.37%"
"11/01/2014","39.61","39.38","39.94","38.66","62.67M","0.00%"
"10/01/2014","39.61","39.52","39.64","36.36","120.64M","-0.35%"
"09/01/2014","39.75","41.76","42.11","39.62","59.50M","-4.65%"
"08/01/2014","41.69","41.43","41.97","40.43","60.57M","0.26%"
"07/01/2014","41.58","42.82","43.15","41.55","63.70M","-2.37%"
"06/01/2014","42.59","42.77","43.48","42.14","65.01M","-0.16%"
"05/01/2014","42.66","42.18","42.67","41.61","57.97M","1.77%"
"04/01/2014","41.92","41.48","41.96","40.38","86.41M","1.57%"
"03/01/2014","41.27","41.18","42.30","40.17","71.15M","-1.41%"
"02/01/2014","41.86","39.47","42.07","38.72","69.06M","5.95%"
"01/01/2014","39.51","41.22","41.70","39.31","69.60M","-5.21%"
"12/01/2013","41.68","40.99","41.88","39.63","68.07M","1.36%"
"11/01/2013","41.12","40.65","41.32","40.04","64.12M","0.66%"
"10/01/2013","40.85","39.62","41.56","38.84","80.17M","3.21%"
"09/01/2013","39.58","37.71","40.59","37.39","72.92M","7.41%"
"08/01/2013","36.85","37.93","38.58","36.82","70.93M","-1.60%"
"07/01/2013","37.45","35.98","38.10","35.42","68.53M","5.20%"
"06/01/2013","35.60","37.19","37.83","34.33","64.04M","-4.28%"
"05/01/2013","37.19","38.32","39.67","37.18","57.57M","-2.97%"
"04/01/2013","38.33","36.25","38.33","35.92","60.87M","5.22%"
"03/01/2013","36.43","35.94","37.25","35.79","67.70M","0.75%"
"02/01/2013","36.16","36.83","36.97","35.43","77.24M","-1.15%"
"01/01/2013","36.58","35.81","36.85","35.16","64.10M","3.83%"
"12/01/2012","35.23","34.25","35.58","34.12","67.59M","3.22%"
"11/01/2012","34.13","33.44","34.23","31.98","56.86M","2.71%"
"10/01/2012","33.23","33.20","34.24","32.67","42.00M","1.06%"
"09/01/2012","32.88","32.58","35.17","32.34","47.32M","0.58%"
"08/01/2012","32.69","31.85","33.45","30.98","48.39M","3.29%"
"07/01/2012","31.65","31.68","32.14","29.91","49.34M","0.25%"
"06/01/2012","31.57","28.99","31.61","28.75","58.55M","6.98%"
"05/01/2012","29.51","33.17","33.51","29.18","57.05M","-11.17%"
"04/01/2012","33.22","33.88","34.50","32.00","52.81M","-2.38%"
"03/01/2012","34.03","34.09","34.67","32.62","56.39M","0.29%"
"02/01/2012","33.93","32.77","34.50","32.73","42.46M","4.88%"
"01/01/2012","32.35","31.26","32.81","30.32","52.80M","5.62%"
"12/01/2011","30.63","32.24","32.79","29.89","60.69M","-5.40%"
"11/01/2011","32.38","31.80","33.38","29.36","37.66M","-2.09%"
"10/01/2011","33.07","29.91","35.36","28.64","44.14M","9.76%"
"09/01/2011","30.13","33.83","34.10","29.11","52.55M","-11.33%"
"08/01/2011","33.98","37.61","37.66","31.37","73.23M","-8.58%"
"07/01/2011","37.17","38.02","38.52","35.98","25.33M","-2.39%"
"06/01/2011","38.08","38.39","38.41","35.75","49.39M","-1.22%"
"05/01/2011","38.55","39.83","39.94","36.56","35.72M","-2.70%"
"04/01/2011","39.62","37.42","39.79","36.65","53.93M","6.19%"
"03/01/2011","37.31","38.39","38.43","33.98","45.08M","-2.53%"
"02/01/2011","38.28","37.42","38.50","37.12","32.79M","3.66%"
"01/01/2011","36.93","36.42","37.55","35.27","44.69M","2.16%"
"12/01/2010","36.15","34.89","37.05","34.84","28.58M","5.83%"
"11/01/2010","34.16","35.94","37.50","34.00","23.52M","-4.90%"
"10/01/2010","35.92","34.92","36.58","34.28","22.13M","4.06%"
"09/01/2010","34.52","32.28","35.10","32.18","24.20M","9.66%"
"08/01/2010","31.48","33.34","33.92","30.76","26.08M","-3.58%"
"07/01/2010","32.65","29.57","33.14","29.14","27.15M","11.66%"
"06/01/2010","29.24","29.57","31.79","28.45","42.79M","-1.81%"
"05/01/2010","29.78","33.75","33.99","26.98","48.92M","-11.53%"
"04/01/2010","33.66","34.98","35.90","33.22","32.55M","-2.77%"
"03/01/2010","34.62","32.67","34.94","32.51","26.19M","6.26%"
"02/01/2010","32.58","32.88","33.60","30.83","21.18M","0.74%"
"01/01/2010","32.34","35.18","35.84","32.34","21.50M","-5.44%"
"12/01/2009","34.20","35.41","36.10","33.99","19.55M","-1.50%"
"11/01/2009","34.72","33.66","36.10","33.04","18.90M","4.11%"
"10/01/2009","33.35","34.08","36.01","32.84","24.45M","-2.77%"
"09/01/2009","34.30","32.72","35.25","31.96","26.17M","3.94%"
"08/01/2009","33.00","32.16","34.27","31.00","13.07M","4.50%"
"07/01/2009","31.58","29.15","31.74","27.24","19.65M","10.57%"
"06/01/2009","28.56","29.66","30.08","27.70","16.70M","-1.82%"
"05/01/2009","29.09","25.83","29.09","25.71","21.33M","13.06%"
"04/01/2009","25.73","22.84","26.17","22.82","33.34M","11.82%"
"03/01/2009","23.01","20.95","24.85","19.27","33.71M","8.33%"
"02/01/2009","21.24","22.75","25.03","21.03","22.29M","-10.08%"
"01/01/2009","23.62","27.36","27.83","22.65","25.49M","-14.02%"
"12/01/2008","27.47","25.20","28.60","23.75","72.34M","5.29%"
"11/01/2008","26.09","27.76","29.92","22.30","27.08M","-6.62%"
"10/01/2008","27.94","34.79","35.22","23.50","26.85M","-20.56%"
"09/01/2008","35.17","40.22","40.22","32.78","15.80M","-11.59%"
"08/01/2008","39.78","41.37","41.61","38.50","16.06M","-4.01%"
"07/01/2008","41.44","42.21","43.04","40.07","21.03M","-3.47%"
"06/01/2008","42.93","48.25","48.25","42.26","6.72M","-8.68%"
"05/01/2008","47.01","46.56","48.29","46.12","5.55M","1.21%"
"04/01/2008","46.45","44.37","47.53","44.37","7.47M","5.38%"
"03/01/2008","44.08","43.92","45.15","41.51","7.37M","0.34%"
"02/01/2008","43.93","45.40","45.64","41.61","7.75M","-1.01%"
"01/01/2008","44.38","48.27","56.11","40.15","8.56M","-7.39%"
"12/01/2007","47.92","50.45","51.53","47.50","7.61M","-4.90%"
"11/01/2007","50.39","51.55","51.55","47.81","6.60M","-3.76%"
"10/01/2007","52.36","50.14","52.60","49.39","7.56M","4.43%"
"09/01/2007","50.14","47.62","50.31","46.36","3.64M","4.76%"
"08/01/2007","47.86","47.68","49.00","43.69","6.12M","-0.08%"
