"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2006","100.51","98.78","100.72","98.21","3.67M","0.94%"
"06/01/2006","99.57","99.15","100.06","98.30","5.08M","-0.13%"
"05/01/2006","99.70","99.41","100.20","98.62","3.98M","-0.20%"
"04/01/2006","99.90","99.76","100.35","98.89","4.42M","-0.75%"
"03/01/2006","100.65","102.72","102.80","100.32","3.94M","-2.14%"
"02/01/2006","102.85","102.76","103.20","101.69","3.06M","0.00%"
"01/01/2006","102.85","102.69","103.49","102.01","5.36M","0.03%"
"12/01/2005","102.82","102.32","103.33","101.65","3.54M","-0.49%"
"11/01/2005","103.33","103.34","104.00","102.25","3.26M","-0.24%"
"10/01/2005","103.58","104.88","104.89","102.80","3.48M","-1.61%"
"09/01/2005","105.27","105.42","106.00","104.61","3.59M","-0.55%"
"08/01/2005","105.85","103.34","105.86","102.40","3.29M","1.87%"
"07/01/2005","103.91","106.37","106.45","103.41","2.80M","-3.10%"
"06/01/2005","107.23","107.00","107.90","105.31","2.84M","-0.06%"
"05/01/2005","107.29","106.54","107.45","105.77","2.41M","0.36%"
"04/01/2005","106.90","105.46","107.45","104.20","3.20M","1.49%"
"03/01/2005","105.33","105.02","106.20","103.65","3.86M","0.22%"
"02/01/2005","105.10","105.60","107.32","104.90","2.83M","-0.68%"
"01/01/2005","105.82","105.50","106.40","104.70","3.56M","0.01%"
"12/01/2004","105.81","104.65","107.03","104.03","2.04M","0.94%"
"11/01/2004","104.82","105.00","105.99","104.05","1.63M","-0.48%"
"10/01/2004","105.33","103.69","105.75","102.75","1.12M","1.09%"
"09/01/2004","104.19","104.00","104.69","102.93","1.36M","-0.33%"
"08/01/2004","104.53","101.80","104.75","101.65","1.11M","2.15%"
"07/01/2004","102.33","101.70","102.97","101.02","1.04M","0.40%"
"06/01/2004","101.92","101.75","102.27","100.10","1.95M","-0.81%"
"05/01/2004","102.75","100.68","102.87","99.53","2.11M","1.47%"
"04/01/2004","101.26","106.25","106.43","100.80","2.34M","-5.28%"
"03/01/2004","106.91","105.47","107.67","105.02","3.09M","1.66%"
"02/01/2004","105.16","102.98","105.22","102.81","2.81M","2.15%"
"01/01/2004","102.95","101.50","103.72","101.08","3.04M","1.22%"
