"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2008","76.50","77.37","77.65","76.16","4.61M","-1.38%"
"04/01/2008","77.57","77.76","78.24","76.45","5.61M","-0.73%"
"03/01/2008","78.14","77.60","79.83","76.50","2.60M","0.03%"
"02/01/2008","78.12","78.44","78.50","76.39","3.62M","-0.29%"
"01/01/2008","78.35","78.26","79.35","76.91","6.14M","1.25%"
"12/01/2007","77.38","77.25","77.43","76.00","5.55M","0.10%"
"11/01/2007","77.30","75.94","77.54","71.36","2.25M","1.58%"
"10/01/2007","76.10","75.28","76.61","75.21","3.16M","0.54%"
"09/01/2007","75.69","75.29","76.14","75.05","1.66M","0.21%"
"08/01/2007","75.53","74.46","78.48","74.23","1.43M","1.07%"
"07/01/2007","74.73","74.10","74.74","73.59","972.60K","0.61%"
"06/01/2007","74.28","74.43","74.43","73.34","2.49M","-0.66%"
"05/01/2007","74.77","75.37","75.52","74.67","1.02M","-0.95%"
